Key,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,?,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,1160,0,-
2,?,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,372,122,-
3,?,28.17,0.585,u,g,aa,v,0.04,f,f,0,f,g,260,1004,-
4,?,29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,300,0,-
5,?,26.5,2.71,y,p,?,?,0.085,f,f,0,f,s,80,0,-
6,?,45.33,1,u,g,q,v,0.125,f,f,0,t,g,263,0,-
7,?,42.25,1.75,y,p,?,?,0,f,f,0,t,g,150,1,-
8,?,33.17,2.25,y,p,cc,v,3.5,f,f,0,t,g,200,141,-
9,a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,980,0,-
10,a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160,0,-
11,a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0,-
12,a,?,3.5,u,g,d,v,3,t,f,0,t,g,300,0,-
13,a,49,1.5,u,g,j,j,0,t,f,0,t,g,100,27,-
14,a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,-
15,a,22.5,11,y,p,q,v,3,t,f,0,t,g,268,0,-
16,a,28.5,1,u,g,q,v,1,t,t,2,t,g,167,500,-
17,a,25,11,y,p,aa,v,4.5,t,f,0,f,g,120,0,-
18,a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140,5,-
19,a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180,147,-
20,a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,212,0,-
21,a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200,0,-
22,a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200,1000,-
23,a,24.5,1.75,y,p,c,v,0.165,f,f,0,f,g,132,0,-
24,a,52.17,0,y,p,ff,ff,0,f,f,0,f,g,0,0,-
25,a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,0,120,-
26,a,20.42,10.5,y,p,x,h,0,f,f,0,t,g,154,32,-
27,a,32,6,u,g,d,v,1.25,f,f,0,f,g,272,0,-
28,a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,80,484,-
29,a,18.17,10,y,p,q,h,0.165,f,f,0,f,g,340,0,-
30,a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,108,98,-
31,a,?,1.5,u,g,ff,ff,0,f,t,2,t,g,200,105,-
32,a,21.75,1.75,y,p,j,j,0,f,f,0,f,g,160,0,-
33,a,18.25,10,u,g,w,v,1,f,t,1,f,g,120,1,-
34,a,16.08,0.335,u,g,ff,ff,0,f,t,1,f,g,160,126,-
35,a,31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,200,4,-
36,a,57.58,2,u,g,ff,ff,6.5,f,t,1,f,g,0,10,-
37,a,15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,120,0,-
38,a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,280,1,-
39,a,31.75,3,y,p,j,j,0,f,f,0,f,g,160,20,-
40,a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,360,6,-
41,a,16.33,0.21,u,g,aa,v,0.125,f,f,0,f,g,200,1,-
42,a,18.58,10,u,g,d,v,0.415,f,f,0,f,g,80,42,-
43,a,29.5,1.085,y,p,x,v,1,f,f,0,f,g,280,13,-
44,a,33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,0,2,-
45,a,25.25,12.5,u,g,d,v,1,f,f,0,t,g,180,1062,-
46,a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160,0,-
47,a,33.25,3,y,p,aa,v,2,f,f,0,f,g,180,0,-
48,a,39.08,4,u,g,c,v,3,f,f,0,f,g,480,0,-
49,a,26.17,2,u,g,j,j,0,f,f,0,t,g,276,1,-
50,a,16,0.165,u,g,aa,v,1,f,t,2,t,g,320,1,-
51,a,19.5,0.165,u,g,q,v,0.04,f,f,0,t,g,380,0,-
52,a,36.75,4.71,u,g,ff,ff,0,f,f,0,f,g,160,0,-
53,a,30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,100,0,-
54,a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,220,1000,-
55,a,23.58,11.5,y,p,k,h,3,f,f,0,t,g,20,16,-
56,a,45,4.585,u,g,k,h,1,f,f,0,t,s,240,0,-
57,a,20.83,0.5,y,p,e,dd,1,f,f,0,f,g,260,0,-
58,a,22.67,7,u,g,c,v,0.165,f,f,0,f,g,160,0,-
59,a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,200,456,-
60,a,56.83,4.25,y,p,ff,ff,5,f,f,0,t,g,0,4,-
61,a,33.08,1.625,u,g,d,v,0.54,f,f,0,t,g,0,0,-
62,a,23.58,0.585,y,p,ff,ff,0.125,f,f,0,f,g,120,87,-
63,a,51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,73,0,-
64,a,22.67,0.335,u,g,q,v,0.75,f,f,0,f,s,160,0,-
65,a,69.5,6,u,g,ff,ff,0,f,f,0,f,s,0,0,-
66,a,40.33,8.125,y,p,k,v,0.165,f,t,2,f,g,?,18,-
67,a,19.58,0.665,y,p,c,v,1,f,t,1,f,g,2000,2,-
68,a,22.67,0.79,u,g,i,v,0.085,f,f,0,f,g,144,0,-
69,a,22.25,1.25,y,p,ff,ff,3.25,f,f,0,f,g,280,0,-
70,a,26.58,2.54,y,p,ff,ff,0,f,f,0,t,g,180,60,-
71,a,27.67,2.04,u,g,w,v,0.25,f,f,0,t,g,180,50,-
72,a,53.33,0.165,u,g,ff,ff,0,f,f,0,t,s,62,27,-
73,a,27.17,1.25,u,g,ff,ff,0,f,t,1,f,g,92,300,-
74,a,17.67,0,y,p,j,ff,0,f,f,0,f,g,86,0,-
75,a,?,11.25,u,g,ff,ff,0,f,f,0,f,g,?,5200,-
76,a,27.33,1.665,u,g,ff,ff,0,f,f,0,f,g,340,1,-
77,a,24.5,2.415,y,p,c,v,0,f,f,0,f,g,120,0,-
78,a,36.58,0.29,u,g,ff,ff,0,f,t,10,f,g,200,18,-
79,a,23,1.835,u,g,j,j,0,f,t,1,f,g,200,53,-
80,a,27.58,3,u,g,m,v,2.79,f,t,1,t,g,280,10,-
81,a,30.42,1.375,u,g,w,h,0.04,f,t,3,f,g,0,33,-
82,a,21.92,11.665,u,g,k,h,0.085,f,f,0,f,g,320,5,-
83,a,16.92,0.5,u,g,i,v,0.165,f,t,6,t,g,240,35,-
84,a,17.33,9.5,u,g,aa,v,1.75,f,t,10,t,g,0,10,-
85,a,22.5,8.5,u,g,q,v,1.75,t,t,10,f,g,80,990,-
86,a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,440,0,-
87,a,57.08,0.335,u,g,i,bb,1,t,f,0,t,g,252,2197,-
88,a,55.75,7.08,u,g,k,h,6.75,t,t,3,t,g,100,50,-
89,a,25.33,2.085,u,g,c,h,2.75,t,f,0,t,g,360,1,-
90,a,24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,400,0,-
91,a,33.92,1.585,y,p,ff,ff,0,t,f,0,f,g,320,0,-
92,a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,80,0,-
93,a,29.58,1.75,y,p,k,v,1.25,f,f,0,t,g,280,0,-
94,a,38.33,4.415,u,g,c,v,0.125,f,f,0,f,g,160,0,-
95,a,19.58,0.665,u,g,w,v,1.665,f,f,0,f,g,220,5,-
96,a,22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,120,809,-
97,a,27.25,0.29,u,g,m,h,0.125,f,t,1,t,g,272,108,-
98,a,38.75,1.5,u,g,ff,ff,0,f,f,0,f,g,76,0,-
99,a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,240,4,-
100,a,52.5,7,u,g,aa,h,3,f,f,0,f,g,0,0,-
101,a,20.83,8.5,u,g,c,v,0.165,f,f,0,f,g,0,351,-
102,a,35.17,3.75,u,g,ff,ff,0,f,t,6,f,g,0,200,-
103,a,15.83,7.625,u,g,q,v,0.125,f,t,1,t,g,0,160,-
104,a,22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,144,0,-
105,a,23.58,0.83,u,g,q,v,0.415,f,t,1,t,g,200,11,-
106,a,21.08,5,y,p,ff,ff,0,f,f,0,f,g,0,0,-
